EventLog,RecordNumber,TimeGenerated,TimeWritten,EventID,EventType,EventTypeName,EventCategory,EventCategoryName,SourceName,Strings,ComputerName,SID,Message,Data
C:\Users\justin\projects\DevTechnologies\log.evtx,1,2016-02-06 00:38:35,2016-02-06 00:38:35,6009,4,Information event,0,None,EventLog,,MINWINPC,,Microsoft (R) Windows (R) 10.00. 10586 Multiprocessor Free. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,2,2016-02-06 00:38:35,2016-02-06 00:38:35,6005,4,Information event,0,None,EventLog,,MINWINPC,,The Event log service was started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,30,2016-02-06 00:38:35,2016-02-06 00:38:35,7023,1,Error event,0,None,Service Control Manager,,MINWINPC,,The netprofm service terminated with the following error: %%21 ,
C:\Users\justin\projects\DevTechnologies\log.evtx,31,2016-02-06 00:38:35,2016-02-06 00:38:35,7026,4,Information event,0,None,Service Control Manager,,MINWINPC,,The following boot-start or system-start driver(s) did not load: cdrom CSC dam ,
C:\Users\justin\projects\DevTechnologies\log.evtx,32,2016-02-06 00:38:39,2016-02-06 00:38:39,6011,4,Information event,0,None,EventLog,,MINWINPC,,The NetBIOS name and DNS host name of this machine have been changed from MINWINPC to WIN-JHPII7JSFQ6. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,33,2016-02-06 00:38:41,2016-02-06 00:38:41,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft Kernel Debug Network Miniport (NDIS 6.20) Service File Name: \SystemRoot\System32\drivers\kdnic.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,35,2016-02-06 00:38:41,2016-02-06 00:38:41,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Qualcomm Atheros Extensible Wireless LAN device driver Service File Name: \SystemRoot\System32\drivers\athwnx.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,39,2016-02-06 00:38:42,2016-02-06 00:38:42,7040,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,The start type of the WLAN AutoConfig service was changed from demand start to auto start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,43,2016-02-06 00:38:42,2016-02-06 00:38:42,4000,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,MINWINPC,S-1-5-18,WLAN AutoConfig service has successfully started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,44,2016-02-06 00:38:43,2016-02-06 00:38:43,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Realtek RT640 NT Driver Service File Name: \SystemRoot\System32\drivers\rt640x64.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,46,2016-02-06 00:38:43,2016-02-06 00:38:43,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft 1.1 UAA Function Driver for High Definition Audio Service Service File Name: \SystemRoot\system32\DRIVERS\HdAudio.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,51,2016-02-06 00:38:44,2016-02-06 00:38:44,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Virtual WiFi Miniport Service Service File Name: \SystemRoot\System32\drivers\vwifimp.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
